City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Liwale,TZ,2020-11-13 08:13:55,-9.77,37.93,81.16,64,81,4.72
71,Port Moresby,PG,2020-11-13 08:13:55,-9.44,147.18,82.4,65,20,17.22
72,Aitape,PG,2020-11-13 08:13:56,-3.14,142.35,82.67,75,41,3.98
73,Port Hedland,AU,2020-11-13 08:13:56,-20.32,118.57,96.8,25,0,23.04
74,Yumen,CN,2020-11-13 08:13:56,40.28,97.2,52.05,36,0,13.65
75,Ekibastuz,KZ,2020-11-13 08:13:56,51.67,75.37,30.83,82,100,19.35
76,Darmstadt,DE,2020-11-13 08:13:56,49.83,8.67,45.0,99,100,3.76
77,Solnechnyy,RU,2020-11-13 08:13:56,50.72,136.63,27.41,96,99,5.55
78,Le Port,RE,2020-11-13 08:13:56,-20.94,55.29,82.4,65,75,10.29
79,San Andres,CO,2020-11-13 08:13:56,12.58,-81.7,82.29,76,2,9.44
80,Atuona,PF,2020-11-13 08:13:57,-9.8,-139.03,77.27,79,9,15.79
81,Saskylakh,RU,2020-11-13 08:13:57,71.92,114.08,-11.65,89,93,1.03
82,Lagoa,PT,2020-11-13 08:13:57,39.05,-27.98,64.0,82,100,11.59
83,Umm Kaddadah,SD,2020-11-13 08:13:57,13.6,26.69,76.73,19,33,20.98
84,Selikhino,RU,2020-11-13 08:13:57,50.37,137.5,29.86,97,100,8.5
85,Luderitz,NA,2020-11-13 08:13:57,-26.65,15.16,69.69,58,2,16.84
86,Cabo San Lucas,MX,2020-11-13 08:13:57,22.89,-109.91,68.0,72,100,1.01
87,Sobolevo,RU,2020-11-13 08:13:58,54.43,31.9,32.29,93,100,6.62
88,Torbay,CA,2020-11-13 08:13:58,47.67,-52.73,41.0,86,90,4.7
89,Samana,DO,2020-11-13 08:13:58,19.21,-69.34,75.65,86,95,8.68
90,Necochea,AR,2020-11-13 08:13:58,-38.55,-58.74,61.0,92,61,7.0
91,Airai,TL,2020-11-13 08:13:58,-8.93,125.41,75.47,58,51,2.57
92,Tiksi,RU,2020-11-13 08:13:58,71.69,128.87,-1.59,94,100,2.13
93,Manacapuru,BR,2020-11-13 08:13:58,-3.3,-60.62,77.0,94,0,2.48
94,Mar Del Plata,AR,2020-11-13 08:09:54,-38.0,-57.56,64.0,100,40,6.93
95,Kodiak,US,2020-11-13 08:13:59,57.79,-152.41,39.2,44,1,13.87
96,Raudeberg,NO,2020-11-13 08:13:59,61.99,5.14,55.0,60,91,11.52
97,Arman,RU,2020-11-13 08:13:59,59.7,150.17,8.67,85,100,7.54
98,Sao Filipe,CV,2020-11-13 08:13:59,14.9,-24.5,79.3,70,30,3.42
99,Nabire,ID,2020-11-13 08:13:59,-3.37,135.48,81.81,83,100,4.25
100,Puerto Ayacucho,VE,2020-11-13 08:13:59,5.66,-67.62,75.04,94,100,3.96
101,Sitka,US,2020-11-13 08:13:59,57.05,-135.33,37.4,86,90,6.93
102,Alta Floresta,BR,2020-11-13 08:13:59,-9.88,-56.09,70.54,96,100,0.56
103,Zhanakorgan,KZ,2020-11-13 08:14:00,43.91,67.25,39.51,64,24,4.61
104,Ponta Do Sol,PT,2020-11-13 08:14:00,32.67,-17.1,68.0,82,40,12.75
105,Glyadyanskoye,RU,2020-11-13 08:14:00,54.91,65.09,27.73,97,100,10.29
106,Mount Gambier,AU,2020-11-13 08:14:00,-37.83,140.77,57.2,76,90,12.75
107,Tuktoyaktuk,CA,2020-11-13 08:14:00,69.45,-133.04,-5.57,92,80,4.63
108,Loreto,MX,2020-11-13 08:14:00,22.27,-101.97,55.2,60,8,2.24
109,Salinopolis,BR,2020-11-13 08:14:00,-0.61,-47.36,79.72,82,96,8.63
110,Luba,GQ,2020-11-13 08:14:01,3.46,8.55,80.6,100,75,4.7
111,Teya,RU,2020-11-13 08:14:01,60.38,92.63,22.06,94,100,7.25
112,Los Llanos De Aridane,ES,2020-11-13 08:14:01,28.66,-17.92,71.6,83,0,10.29
113,Bathsheba,BB,2020-11-13 08:14:01,13.22,-59.52,78.8,88,75,10.29
114,Hasaki,JP,2020-11-13 08:12:35,35.73,140.83,62.6,72,20,5.82
115,Castro,BR,2020-11-13 08:09:55,-24.79,-50.01,59.25,97,100,3.31
116,Ribeira Grande,PT,2020-11-13 08:14:01,38.52,-28.7,62.6,88,40,5.82
117,Cayenne,GF,2020-11-13 08:14:02,4.93,-52.33,75.2,100,1,2.24
118,Vila Velha,BR,2020-11-13 08:10:42,-20.33,-40.29,77.0,69,75,9.17
119,Mayo,US,2020-11-13 08:14:02,38.89,-76.51,51.01,93,90,3.36
120,Constitucion,CL,2020-11-13 08:14:02,-35.33,-72.42,52.09,90,100,5.14
121,New Norfolk,AU,2020-11-13 08:14:02,-42.78,147.06,61.0,48,100,1.99
122,Ketchikan,US,2020-11-13 08:13:17,55.34,-131.65,41.0,100,90,4.7
123,Praia Da Vitoria,PT,2020-11-13 08:14:02,38.73,-27.07,57.0,93,20,6.22
124,Bhadrachalam,IN,2020-11-13 08:14:02,17.67,80.88,88.47,51,0,2.71
125,Georgetown,MY,2020-11-13 08:12:45,5.41,100.34,87.8,70,20,9.17
126,Pavilosta,LV,2020-11-13 08:14:03,56.89,21.19,41.0,93,100,11.41
127,Hermanus,ZA,2020-11-13 08:14:03,-34.42,19.23,81.0,43,75,3.0
128,Malartic,CA,2020-11-13 08:14:03,48.13,-78.13,36.0,93,75,9.17
129,Pacific Grove,US,2020-11-13 08:14:03,36.62,-121.92,51.8,76,1,11.41
130,Manta,EC,2020-11-13 08:10:06,-0.95,-80.73,71.6,83,0,10.29
131,Abu Samrah,SY,2020-11-13 08:14:03,35.3,37.18,67.41,45,0,4.38
132,Pangody,RU,2020-11-13 08:14:04,65.85,74.49,-4.52,92,87,6.91
133,Uniontown,US,2020-11-13 08:14:04,39.9,-79.72,37.4,93,90,3.36
134,Grindavik,IS,2020-11-13 08:14:04,63.84,-22.43,35.6,93,0,9.17
135,Prieska,ZA,2020-11-13 08:14:04,-29.66,22.75,86.9,25,0,23.26
136,Usta Muhammad,PK,2020-11-13 08:14:04,28.18,68.04,90.27,12,0,7.14
137,Aden,YE,2020-11-13 08:14:04,12.78,45.04,81.19,69,62,12.1
138,Senneterre,CA,2020-11-13 08:14:04,48.38,-77.23,32.0,93,75,9.17
139,Sokol,RU,2020-11-13 08:14:04,59.46,40.12,34.05,96,100,6.55
140,Khor,RU,2020-11-13 08:14:05,47.89,134.95,27.39,95,92,8.75
141,North Bend,US,2020-11-13 08:09:27,43.41,-124.22,51.8,81,90,14.99
142,Norman Wells,CA,2020-11-13 08:14:05,65.28,-126.83,5.0,84,90,19.46
143,Alofi,NU,2020-11-13 08:14:05,-19.06,-169.92,77.0,88,95,5.82
144,Nikolskoye,RU,2020-11-13 08:14:05,59.7,30.79,39.2,80,90,2.24
145,Carutapera,BR,2020-11-13 08:14:06,-1.2,-46.02,77.5,89,56,5.88
146,Tongren,CN,2020-11-13 08:13:38,27.72,109.19,69.82,44,0,7.11
147,Khani,GE,2020-11-13 08:14:06,41.96,42.96,57.2,62,0,14.99
148,Tual,ID,2020-11-13 08:14:06,-5.67,132.75,84.15,71,44,2.08
